,date,balance,equity,load
0,2020-01-22,86639.0,100000.0,0.0
1,2020-01-23,73062.0,100216.0,0.0
2,2020-01-24,75454.0,99698.0,0.0
3,2020-01-27,62194.0,98562.0,0.0
4,2020-01-28,53143.0,98898.0,0.0
5,2020-01-29,56583.0,98201.0,0.0
6,2020-01-30,55857.0,98623.0,0.0
7,2020-01-31,68115.0,97571.0,0.0
8,2020-02-03,61037.0,97753.0,0.0
9,2020-02-04,73901.0,97969.0,0.0
10,2020-02-05,81303.0,98835.0,0.0
11,2020-02-06,90037.0,98619.0,0.0
12,2020-02-07,77032.0,98397.0,0.0
13,2020-02-10,67880.0,97672.0,0.0
14,2020-02-11,87370.0,99088.0,0.0
15,2020-02-12,78109.0,99381.0,0.0
16,2020-02-13,75622.0,99093.0,0.0
17,2020-02-14,56673.0,98741.0,0.0
18,2020-02-17,65292.0,98223.0,0.0
19,2020-02-18,67565.0,98507.0,0.0
20,2020-02-19,80950.0,98569.0,0.0
21,2020-02-20,77435.0,98519.0,0.0
22,2020-02-21,71051.0,98167.0,0.0
23,2020-02-26,68056.0,96254.0,0.0
24,2020-02-27,57085.0,96234.0,0.0
25,2020-02-28,65299.0,96691.0,0.0
26,2020-03-02,68681.0,97271.0,0.0
27,2020-03-03,77170.0,97068.0,0.0
28,2020-03-04,86014.0,97668.0,0.0
29,2020-03-05,91903.0,96881.0,0.0
30,2020-03-06,75582.0,97075.0,0.0
31,2020-03-09,69455.0,94211.0,0.0
32,2020-03-10,62593.0,97585.0,0.0
33,2020-03-11,72032.0,94470.0,0.0
34,2020-03-12,69998.0,92154.0,0.0
35,2020-03-13,60371.0,96043.0,0.0
36,2020-03-16,62914.0,92313.0,0.0
37,2020-03-17,68410.0,93864.0,0.0
38,2020-03-18,74899.0,91274.0,0.0
39,2020-03-19,79348.0,89402.0,0.0
40,2020-03-20,82022.0,89682.0,0.0
41,2020-03-23,92307.0,88847.0,0.0
42,2020-03-24,94368.0,88371.0,0.0
43,2020-03-25,93278.0,88466.0,0.0
44,2020-03-26,88016.0,89206.0,0.0
45,2020-03-27,83054.0,89118.0,0.0
46,2020-03-30,82706.0,89520.0,0.0
47,2020-03-31,95230.0,89058.0,0.0
48,2020-04-01,92516.0,88842.0,0.0
49,2020-04-02,89769.0,87669.0,0.0
50,2020-04-03,95008.0,86859.0,0.0
51,2020-04-06,92253.0,86555.0,0.0
52,2020-04-07,96736.0,86045.0,0.0
53,2020-04-08,88213.0,84383.0,0.0
54,2020-04-09,79705.0,84923.0,0.0
55,2020-04-13,73772.0,85326.0,0.0
56,2020-04-14,73746.0,85040.0,0.0
57,2020-04-15,83599.0,84825.0,0.0
58,2020-04-16,80955.0,85437.0,0.0
59,2020-04-17,85503.0,85911.0,0.0
60,2020-04-20,76628.0,85517.0,0.0
61,2020-04-22,69420.0,85810.0,0.0
62,2020-04-23,60989.0,86764.0,0.0
63,2020-04-24,73090.0,88434.0,0.0
64,2020-04-27,71832.0,88366.0,0.0
65,2020-04-28,58586.0,85708.0,0.0
66,2020-04-29,68632.0,87482.0,0.0
67,2020-04-30,61076.0,87278.0,0.0
68,2020-05-04,65834.0,87522.0,0.0
69,2020-05-05,57480.0,86482.0,0.0
70,2020-05-06,53532.0,87988.0,0.0
71,2020-05-07,56774.0,91480.0,0.0
72,2020-05-08,60300.0,93914.0,0.0
73,2020-05-11,64569.0,92923.0,0.0
74,2020-05-12,72288.0,93137.0,0.0
75,2020-05-13,73223.0,94449.0,0.0
76,2020-05-14,72420.0,93275.0,0.0
77,2020-05-15,75861.0,94491.0,0.0
78,2020-05-18,71350.0,95911.0,0.0
79,2020-05-19,70296.0,98220.0,0.0
80,2020-05-20,65530.0,97688.0,0.0
81,2020-05-21,55331.0,94285.0,0.0
82,2020-05-22,57023.0,93029.0,0.0
83,2020-05-25,51370.0,90740.0,0.0
84,2020-05-26,53031.0,90304.0,0.0
85,2020-05-27,58603.0,91723.0,0.0
86,2020-05-28,62927.0,91585.0,0.0
87,2020-05-29,66986.0,95702.0,0.0
88,2020-06-01,65005.0,94906.0,0.0
89,2020-06-02,71013.0,91909.0,0.0
90,2020-06-03,77943.0,90457.0,0.0
91,2020-06-04,77338.0,92676.0,0.0
92,2020-06-05,87845.0,89932.0,0.0
93,2020-06-08,82215.0,87567.0,0.0
94,2020-06-09,83234.0,89307.0,0.0
95,2020-06-10,72909.0,90749.0,0.0
96,2020-06-12,84084.0,90801.0,0.0
97,2020-06-15,95160.0,92372.0,0.0
98,2020-06-16,90348.0,92044.0,0.0
99,2020-06-17,94189.0,91983.0,0.0
100,2020-06-18,89179.0,91605.0,0.0
101,2020-06-19,84070.0,90576.0,0.0
102,2020-06-22,68485.0,91642.0,0.0
103,2020-06-23,69034.0,92192.0,0.0
104,2020-06-24,68736.0,93024.0,0.0
105,2020-06-25,63884.0,93020.0,0.0
106,2020-06-26,64607.0,93436.0,0.0
107,2020-06-29,65054.0,92798.0,0.0
108,2020-06-30,60122.0,93992.0,0.0
109,2020-07-01,56358.0,91860.0,0.0
110,2020-07-02,45135.0,92880.0,0.0
111,2020-07-03,36062.0,92418.0,0.0
112,2020-07-06,47740.0,93048.0,0.0
113,2020-07-07,54748.0,93974.0,0.0
114,2020-07-08,60984.0,94296.0,0.0
115,2020-07-09,72483.0,93589.0,0.0
116,2020-07-10,72934.0,93859.0,0.0
117,2020-07-13,80143.0,94789.0,0.0
118,2020-07-14,68943.0,97667.0,0.0
119,2020-07-15,69113.0,97611.0,0.0
120,2020-07-16,74344.0,96213.0,0.0
121,2020-07-17,81036.0,96312.0,0.0
122,2020-07-20,74368.0,96080.0,0.0
123,2020-07-21,69242.0,94882.0,0.0
124,2020-07-22,76594.0,94946.0,0.0
125,2020-07-23,76867.0,95347.0,0.0
126,2020-07-24,77092.0,95511.0,0.0
127,2020-07-27,83786.0,96464.0,0.0
128,2020-07-28,78868.0,95216.0,0.0
129,2020-07-29,85628.0,96360.0,0.0
130,2020-07-30,79049.0,96346.0,0.0
131,2020-07-31,83465.0,97301.0,0.0
132,2020-08-03,90038.0,95885.0,0.0
133,2020-08-04,92331.0,98115.0,0.0
134,2020-08-05,87588.0,100323.0,0.0
135,2020-08-06,87381.0,98797.0,0.0
136,2020-08-07,94195.0,97859.0,0.0
